Id,SalePrice
1461,117980.737495
1462,162819.896505
1463,184940.897938
1464,195193.450812
1465,195199.048987
1466,177569.503898
1467,176167.410286
1468,169270.989466
1469,194276.182897
1470,119945.63405
1471,206266.596708
1472,95943.0049979
1473,97611.0692946
1474,149320.344898
1475,113121.291683
1476,378155.643496
1477,247938.088252
1478,301666.90111
1479,296124.054727
1480,508899.762478
1481,345215.209669
1482,216689.271712
1483,171114.584162
1484,166014.868528
1485,188232.450407
1486,195337.2936
1487,312238.982478
1488,240655.594338
1489,200638.634534
1490,217705.233019
1491,196397.260741
1492,91562.250237
1493,205217.155539
1494,307184.686179
1495,307792.826127
1496,226364.311141
1497,177651.78047
1498,162569.43821
1499,158471.806365
1500,151415.356038
1501,172440.590026
1502,147490.812179
1503,285276.086045
1504,244043.641774
1505,226118.067416
1506,183648.352291
1507,245166.577223
1508,215530.882603
1509,165540.665532
1510,145718.443161
1511,143327.662176
1512,164494.97788
1513,150815.534994
1514,169988.466686
1515,202585.494903
1516,163720.383823
1517,166207.48658
1518,134346.394644
1519,224187.876054
1520,132906.532489
1521,137501.99715
1522,175591.807696
1523,106067.337906
1524,115998.542358
1525,119894.36943
1526,129284.614797
1527,98342.7322314
1528,135999.869797
1529,142625.519502
1530,172594.013932
1531,112535.389733
1532,103092.785829
1533,131614.328267
1534,123260.971661
1535,164359.695105
1536,109380.539082
1537,78343.3192786
1538,159122.577125
1539,197404.739478
1540,108240.136459
1541,156119.289671
1542,138865.028746
1543,213144.540822
1544,78458.8206819
1545,112689.832952
1546,134666.800498
1547,128765.175666
1548,128321.614938
1549,114160.628211
1550,142903.198368
1551,128284.63227
1552,135785.617077
1553,141083.857667
1554,116565.937728
1555,173410.350394
1556,102319.737031
1557,105635.396887
1558,103604.903491
1559,97726.0010738
1560,140492.387019
1561,131572.135266
1562,128336.348415
1563,120432.040449
1564,153162.257005
1565,151698.231639
1566,225847.615103
1567,77526.8835996
1568,227150.013872
1569,145964.829033
1570,136978.116566
1571,127565.455848
1572,148388.135323
1573,243650.37778
1574,124456.279831
1575,224502.779218
1576,225573.275468
1577,187988.097183
1578,144254.100134
1579,146234.794286
1580,203398.857506
1581,147928.142373
1582,122590.241932
1583,320840.530531
1584,227210.851216
1585,141932.540096
1586,69888.2861352
1587,104038.422164
1588,146898.256452
1589,97609.8539284
1590,131556.221151
1591,90763.6370426
1592,121630.461179
1593,126278.86244
1594,126518.060367
1595,126481.425585
1596,227006.318955
1597,186007.579029
1598,194911.80849
1599,182845.495962
1600,180243.27525
1601,58270.6811497
1602,120273.983139
1603,78975.9999589
1604,259329.265003
1605,265929.738303
1606,162753.689949
1607,166452.771129
1608,213909.600915
1609,190337.945825
1610,151883.952849
1611,143174.21265
1612,168190.168902
1613,168172.570686
1614,118985.521284
1615,85629.8748114
1616,79543.0240063
1617,89329.7290859
1618,124522.646828
1619,136155.173521
1620,187189.019206
1621,144731.914957
1622,149950.780968
1623,302202.752649
1624,226991.415433
1625,128050.074536
1626,170018.624357
1627,190552.020772
1628,293708.571264
1629,183925.952991
1630,352902.280656
1631,228785.297182
1632,248013.421355
1633,176600.38914
1634,182409.827823
1635,190151.030169
1636,156699.10687
1637,196722.936925
1638,203340.745352
1639,180530.267209
1640,244454.431245
1641,188196.193281
1642,240459.094525
1643,226339.344636
1644,239354.419745
1645,175998.311176
1646,157983.836828
1647,164530.853258
1648,134153.623731
1649,132054.968725
1650,114218.253548
1651,121052.901365
1652,98356.135629
